date,NO2
2025-04-03,4.830558048394908e-05
2025-04-04,5.003339902032167e-05
2025-04-05,3.4685769605857786e-05
2025-04-06,1.9338140191393904e-05
2025-04-07,1.5419702322105877e-05
2025-04-08,8.125802196445875e-06
2025-04-09,1.0857669824165188e-05
2025-04-10,1.3589537451884502e-05
2025-04-11,1.6321405079603814e-05
2025-04-12,1.905327270732313e-05
2025-04-13,2.1785140335042444e-05
2025-04-14,2.4517007962761756e-05
2025-04-15,2.724887559048107e-05
2025-04-16,2.9980743218200383e-05
2025-04-17,3.27126108459197e-05
2025-04-18,3.461507488585388e-05
2025-04-19,3.651753892578805e-05
2025-04-20,3.842000296572223e-05
2025-04-21,4.0322467005656414e-05
2025-04-22,4.2224931045590594e-05
2025-04-23,4.412739508552477e-05
2025-04-24,3.731210745172575e-05
2025-04-25,4.8480596888111904e-05
2025-04-26,5.964908632449806e-05
2025-04-27,6.92458706907928e-05
2025-04-28,2.876872349588666e-05
2025-04-29,2.536368992878124e-05
2025-04-30,1.399903430865379e-05
2025-05-01,0.00011049505701521412
2025-05-02,8.759114098211285e-05
2025-05-03,6.468722494901158e-05
2025-05-04,4.178330891591031e-05
2025-05-05,1.8879392882809043e-05
2025-05-06,2.140011711162515e-05
2025-05-07,2.3920841340441256e-05
2025-05-08,2.6441565569257364e-05
2025-05-09,2.896228979807347e-05
2025-05-10,3.148301402688958e-05
2025-05-11,4.673737566918135e-05
2025-05-12,3.876952481126258e-05
2025-05-13,3.080167395334381e-05
2025-05-14,2.2833823095425032e-05
2025-05-15,2.8840039703936782e-05
2025-05-16,3.484625631244853e-05
2025-05-17,3.783178181038238e-05
2025-05-18,2.2415670173359104e-05
2025-05-19,2.168054258315048e-05
2025-05-20,2.0945414992941853e-05
2025-05-21,2.021028740273323e-05
2025-05-22,1.9475159812524605e-05
2025-05-23,1.874003222231598e-05
2025-05-24,1.8004904632107355e-05
2025-05-25,2.421805356789264e-05
2025-05-26,3.0431202503677923e-05
2025-05-27,3.664435143946321e-05
2025-05-28,4.285750037524849e-05
2025-05-29,1.014487224892946e-05
2025-05-30,3.3458629332017154e-05
2025-05-31,1.4047678632778116e-05
2025-06-01,1.562808029120788e-05
2025-06-02,1.7208481949637644e-05
2025-06-03,1.8788883608067408e-05
2025-06-04,2.3465265257982537e-05
2025-06-05,1.5119094314286485e-05
2025-06-06,2.2528865883941762e-05
2025-06-07,1.9338790480105672e-05
2025-06-08,1.6148715076269582e-05
2025-06-09,2.3797829271643423e-05
2025-06-10,3.144694346701726e-05
2025-06-11,1.5608204193995334e-05
2025-06-12,1.1701411494868807e-05
2025-06-13,1.5413806977448985e-05
2025-06-14,1.9126202460029162e-05
2025-06-15,2.283859794260934e-05
2025-06-16,1.5669562344555743e-05
2025-06-17,2.1273886886774562e-05
2025-06-18,2.069055381070939e-05
2025-06-19,2.0107220734644216e-05
2025-06-20,1.9523887658579042e-05
2025-06-21,1.894055458251387e-05
2025-06-22,1.1176813245583617e-05
2025-06-23,3.4130719086533645e-06
2025-06-24,2.7983127438346855e-05
2025-06-25,2.2181918514737237e-05
2025-06-26,1.638070959112762e-05
2025-06-27,1.0579500667518005e-05
2025-06-28,1.4655088913665773e-05
2025-06-29,1.8730677159813542e-05
2025-06-30,2.2806265405961312e-05
2025-07-01,1.2368570423859637e-05
2025-07-02,9.6126659627771e-06
2025-07-03,2.4440377274004277e-05
2025-07-04,3.926808858523145e-05
2025-07-05,2.79296964436071e-05
2025-07-06,3.025623057813694e-05
2025-07-07,3.258276471266678e-05
2025-07-08,3.4909298847196624e-05
2025-07-09,2.5644645575084724e-05
2025-07-10,8.643816545372829e-05
2025-07-11,3.1774452509125695e-05
2025-07-12,2.3056702502799453e-05
2025-07-13,1.4338952496473212e-05
2025-07-14,6.022994784871116e-05
2025-07-15,2.2693120627081953e-05
2025-07-16,2.7884698283742182e-05
2025-07-17,3.0727722332812846e-05
2025-07-18,2.9215774702606723e-05
2025-07-19,4.505203105509281e-05
2025-07-20,1.449143746867776e-05
2025-07-21,1.8201990314992145e-05
2025-07-22,1.0652108358044643e-05
2025-07-23,1.988408803299535e-05
2025-07-24,8.965736014943104e-06
2025-07-25,1.9019860701519065e-05
2025-07-26,3.8157850212883204e-05
2025-07-27,3.281499812146649e-05
2025-07-28,1.7391706933267415e-05
2025-07-29,1.037587662722217e-05
2025-07-30,2.3528755264123902e-05
2025-07-31,1.7218348148162477e-05
2025-08-01,1.2750153473461978e-05
2025-08-02,1.598857852513902e-05
2025-08-03,7.457757646989194e-07
2025-08-04,1.4791394278290682e-05
2025-08-05,1.6056107597250957e-05
2025-08-06,1.7320820916211233e-05
2025-08-07,1.2057882486260496e-05
2025-08-08,3.0503457310260274e-05
2025-08-09,3.028174069186207e-05
2025-08-10,1.855138543760404e-05
2025-08-11,2.778644375212025e-05
2025-08-12,1.3493654478224926e-05
2025-08-13,1.3551449228543788e-05
2025-08-14,2.8052832931280136e-05
2025-08-15,1.8762237232294865e-05
2025-08-16,2.2351279767462984e-05
2025-08-17,1.4317912246042397e-05
2025-08-18,1.79519563971553e-05
2025-08-19,2.1586000548268204e-05
2025-08-20,2.5220044699381104e-05
2025-08-21,2.885408885049401e-05
2025-08-22,3.248813300160691e-05
2025-08-23,1.2201307981740683e-05
2025-08-24,4.825663927476853e-05
2025-08-25,1.850582157203462e-05
2025-08-26,6.598047912120819e-05
2025-08-27,9.67532760114409e-05
2025-08-28,7.348373856075341e-06
2025-08-29,8.324638656631578e-06
2025-08-30,1.225426740347757e-05
2025-08-31,1.6183896150323562e-05
2025-09-01,8.124259693431668e-06
2025-09-02,1.614983739273157e-05
2025-09-03,1.1116623682028148e-05
2025-09-04,5.3519765970122535e-06
2025-09-05,2.1486097466549836e-05
2025-09-06,4.338904909673147e-05
2025-09-07,3.012592060258612e-05
2025-09-08,3.944910167774651e-05
2025-09-09,4.8772282752906904e-05
2025-09-10,3.74605406250339e-05
2025-09-11,2.6148798497160897e-05
2025-09-12,2.0029046936542727e-05
2025-09-13,1.5283239918062463e-05
2025-09-14,2.0962881535524502e-05
2025-09-15,3.3173648262163624e-05
2025-09-16,1.3178880180930719e-05
2025-09-17,1.4863477917970159e-05
2025-09-18,1.65480756550096e-05
2025-09-19,1.8232673392049036e-05
2025-09-20,1.9917271129088476e-05
2025-09-21,2.1601868866127916e-05
2025-09-22,2.5940717023331672e-05
2025-09-23,4.624255598173477e-05
2025-09-24,5.27899173903279e-05
2025-09-25,2.5614643163862638e-05
2025-09-26,8.426395652350038e-06
2025-09-27,3.6040222767041996e-05
2025-09-28,3.613065928220749e-06
2025-09-29,5.907493459744728e-06
2025-09-30,8.201920991268707e-06
2025-10-01,1.0496348522792687e-05
2025-10-02,1.2790776054316666e-05
2025-10-03,7.111857121344656e-05
2025-10-04,2.0844201571890153e-05
2025-10-05,7.277727036125725e-06
2025-10-06,1.6598638239884167e-05
2025-10-07,2.591954944364261e-05
2025-10-08,2.2882902158016805e-05
2025-10-09,1.9846254872391e-05
2025-10-10,1.3209985809226055e-05
2025-10-11,1.6305152257700684e-05
2025-10-12,1.9400318706175312e-05
2025-10-13,2.754668275883887e-05
2025-10-14,2.468600359861739e-05
2025-10-15,2.2354199245455675e-05
2025-10-16,2.002239489229396e-05
2025-10-17,1.1735111911548302e-05
2025-10-18,3.612693944887724e-05
2025-10-19,6.0518766986206174e-05
2025-10-20,5.637823103045646e-05
2025-10-21,5.2237695074706737e-05
2025-10-22,4.809715911895702e-05
2025-10-23,4.39566231632073e-05
2025-10-24,3.9816087207457584e-05
2025-10-25,3.567555125170787e-05
2025-10-26,3.1535015295958146e-05
2025-10-27,3.1618336624188276e-05
2025-10-28,3.1701657952418405e-05
2025-10-29,3.1784979280648535e-05
2025-10-30,3.186830060887867e-05
2025-10-31,3.19516219371088e-05
2025-11-01,3.203494326533893e-05
2025-11-02,3.211826459356906e-05
2025-11-03,3.220158592179919e-05
2025-11-04,3.228490725002932e-05
2025-11-05,3.2368228578259455e-05
2025-11-06,3.2451549906489585e-05
2025-11-07,3.2534871234719714e-05
2025-11-08,3.2618192562949844e-05
2025-11-09,3.270151389117997e-05
2025-11-10,3.27848352194101e-05
2025-11-11,3.286815654764023e-05
2025-11-12,3.295147787587037e-05
2025-11-13,3.30347992041005e-05
2025-11-14,3.311812053233063e-05
2025-11-15,3.320144186056076e-05
2025-11-16,3.3284763188790887e-05
2025-11-17,3.3368084517021016e-05
2025-11-18,3.345140584525115e-05
2025-11-19,3.353472717348128e-05
2025-11-20,3.361804850171141e-05
2025-11-21,3.370136982994154e-05
2025-11-22,3.470986848697066e-05
2025-11-23,3.5718367143999785e-05
2025-11-24,5.942532516201027e-05
2025-11-25,8.313228318002075e-05
2025-11-26,0.00011983486183453351
2025-11-27,0.00010726267064455896
2025-11-28,9.469047945458442e-05
2025-11-29,8.211828826460987e-05
2025-11-30,6.954609707463533e-05
2025-12-01,5.697390588466078e-05
2025-12-02,4.9432563173468225e-05
2025-12-03,4.189122046227567e-05
2025-12-04,2.7542908355826512e-05
2025-12-05,1.3194596249377355e-05
2025-12-06,4.7769101001904346e-05
2025-12-07,8.234360575443134e-05
2025-12-08,7.387708198317948e-05
2025-12-09,6.541055821192761e-05
2025-12-10,5.694403444067575e-05
2025-12-11,7.197850391094107e-05
2025-12-12,8.70129733812064e-05
2025-12-13,9.187005101315056e-05
2025-12-14,9.672712864509474e-05
2025-12-15,0.0001015842062770389
2025-12-16,7.655691479158122e-05
2025-12-17,5.152962330612354e-05
2025-12-18,5.3221770031086635e-05
2025-12-19,5.491391675604973e-05
2025-12-20,5.6606063481012825e-05
2025-12-21,5.829821020597592e-05
2025-12-22,5.9990356930939015e-05
2025-12-23,6.168250365590211e-05
2025-12-24,6.33746503808652e-05
2025-12-25,6.50667971058283e-05
2025-12-26,6.67589438307914e-05
2025-12-27,6.845109055575449e-05
2025-12-28,7.014323728071759e-05
2025-12-29,7.183538400568068e-05
2025-12-30,7.874830650204483e-05
2025-12-31,8.566122899840896e-05
2026-01-01,9.25741514947731e-05
2026-01-02,9.948707399113725e-05
2026-01-03,0.0001063999964875014
2026-01-04,0.00011331291898386553
2026-01-05,0.00011850980627059471
2026-01-06,0.0001237066935573239
2026-01-07,0.00012890358084405307
2026-01-08,0.00013410046813078225
2026-01-09,7.060781354084611e-05
2026-01-10,7.397490189759992e-05
2026-01-11,7.734199025435373e-05
2026-01-12,8.070907861110755e-05
2026-01-13,8.407616696786136e-05
2026-01-14,8.744325532461517e-05
2026-01-15,9.081034368136897e-05
2026-01-16,9.417743203812278e-05
2026-01-17,9.75445203948766e-05
2026-01-18,0.00010091160875163041
2026-01-19,0.00010427869710838422
2026-01-20,9.386420642840677e-05
2026-01-21,8.34497157484293e-05
2026-01-22,7.303522506845184e-05
2026-01-23,6.262073438847437e-05
2026-01-24,5.220624370849691e-05
2026-01-25,5.640305898850784e-05
2026-01-26,6.059987426851876e-05
2026-01-27,6.479668954852968e-05
2026-01-28,6.89935048285406e-05
2026-01-29,7.319032010855153e-05
2026-01-30,9.355828660773113e-05
2026-01-31,7.638445822522044e-05
2026-02-01,6.053670040273573e-05
2026-02-02,4.468894258025102e-05
2026-02-03,6.039647996658459e-05
2026-02-04,6.713305629091337e-05
2026-02-05,6.823400690336712e-05
2026-02-06,6.933495751582086e-05
2026-02-07,6.802532395037512e-05
2026-02-08,6.671569038492937e-05
2026-02-09,6.540605681948364e-05
2026-02-10,6.40964232540379e-05
2026-02-11,6.278678968859215e-05
2026-02-12,6.147715612314641e-05
2026-02-13,6.016752255770068e-05
2026-02-14,5.8857888992254935e-05
2026-02-15,5.754825542680919e-05
2026-02-16,5.977041851460504e-05
2026-02-17,6.199258160240088e-05
2026-02-18,6.421474469019673e-05
2026-02-19,6.643690777799257e-05
2026-02-20,6.865907086578842e-05
2026-02-21,7.088123395358428e-05
2026-02-22,7.310339704138011e-05
2026-02-23,7.532556012917597e-05
2026-02-24,7.754772321697182e-05
2026-02-25,7.976988630476766e-05
2026-02-26,8.199204939256351e-05
2026-02-27,8.421421248035935e-05
2026-02-28,8.64363755681552e-05
2026-03-01,8.958194302977063e-05
2026-03-02,9.272751049138606e-05
2026-03-03,9.587307795300148e-05
2026-03-04,9.901864541461691e-05
2026-03-05,8.974607953859959e-05
2026-03-06,8.047351366258226e-05
2026-03-07,7.120094778656494e-05
2026-03-08,6.192838191054761e-05
2026-03-09,7.55088137035879e-05
2026-03-10,8.90892454966282e-05
2026-03-11,0.00010266967728966847
2026-03-12,0.00011625010908270876
2026-03-13,0.00012983054087574905
2026-03-14,0.00014341097266878933
2026-03-15,9.838518599281088e-05
2026-03-16,8.494226737335946e-05
2026-03-17,7.149934875390802e-05
2026-03-18,5.8056430134456605e-05
2026-03-19,5.834422772750258e-05
2026-03-20,5.8632025320548566e-05
2026-03-21,5.891982291359454e-05
2026-03-22,5.9207620506640526e-05
2026-03-23,5.9495418099686503e-05
2026-03-24,6.740501885360572e-05
2026-03-25,7.531461960752495e-05
2026-03-26,8.322422036144417e-05
2026-03-27,9.113382111536339e-05
2026-03-28,7.120393274817616e-05
2026-03-29,5.1274044380988926e-05
2026-03-30,3.4890846639730924e-05
2026-03-31,1.850764889847293e-05
2026-04-01,2.124451157214935e-06
2026-04-02,2.662513725226745e-05
2026-04-03,2.08035453397315e-05
2026-04-04,2.390232339166687e-05
2026-04-05,2.7001101443602238e-05
2026-04-06,3.0099879495537607e-05
2026-04-07,3.3198657547472976e-05
2026-04-08,3.6297435599408345e-05
2026-04-09,3.9396213651343714e-05
2026-04-10,4.2494991703279084e-05
2026-04-11,4.559376975521445e-05
2026-04-12,2.072333518299274e-05
2026-04-13,1.937238448590506e-05
2026-04-14,1.7872620446723886e-05
2026-04-15,1.961774250958115e-05
2026-04-16,1.397763753629988e-05
2026-04-17,2.1903892047703266e-05
2026-04-18,3.41247723554261e-05
2026-04-19,6.267814023885876e-05
2026-04-20,4.1181090637110174e-05
2026-04-21,3.886628946929705e-05
2026-04-22,3.655148830148391e-05
2026-04-23,3.4236687133670786e-05
2026-04-24,3.192188596585765e-05
2026-04-25,2.9607084798044525e-05
2026-04-26,2.787505763990339e-05
2026-04-27,4.741903831018135e-05
2026-04-28,6.696301898045931e-05
2026-04-29,8.650699965073727e-05
2026-04-30,0.00010605098032101523
2026-05-01,0.0001255949609912932
2026-05-02,1.6802154277684167e-05
2026-05-03,2.6500907551962882e-05
2026-05-04,2.859125379472971e-05
2026-05-05,2.828251672326587e-05
2026-05-06,4.379690290079452e-05
2026-05-07,1.5986031939974055e-05
2026-05-08,2.2356436602422036e-05
2026-05-09,3.0692259315401316e-05
2026-05-10,2.4551616661483422e-05
2026-05-11,3.171899516019039e-05
2026-05-12,1.867188257165253e-05
2026-05-13,3.344199285493232e-05
2026-05-14,3.5388111427892e-05
2026-05-15,5.029944077250548e-05
2026-05-16,4.823747440241277e-05
2026-05-17,4.617550803232007e-05
2026-05-18,3.7718706153100356e-05
2026-05-19,6.393513285729568e-05
2026-05-20,9.015155956149101e-05
2026-05-21,1.0056352948595304e-05
2026-05-22,5.56315244466532e-05
2026-05-23,2.4345114070456475e-05
2026-05-24,3.717525760293938e-05
2026-05-25,4.110654481337406e-05
2026-05-26,4.503783202380873e-05
2026-05-27,4.1308112486149184e-05
2026-05-28,3.7578392948489636e-05
2026-05-29,3.747128357645124e-05
2026-05-30,3.736417420441285e-05
2026-05-31,3.7257064832374454e-05
